type,design,gelato_product_id
poster,Rising Sun,3e979931-22f0-4b77-9800-c9655e3fe645
poster,Arch,21012534-4a6b-41d9-b265-78328e28c256
poster,Vessel,ad365118-e7bc-4770-b51c-4d4905fff59c
poster,Sun and Moon,2934174a-ef77-443a-845f-789bcf831cf0
poster,Pampas,444db38e-db48-404d-9fd5-8c703e4e41b7
poster,Single Stem,3345d0d6-3ea8-4916-82f2-a8be3a912385
poster,Ink Horizon,0bc38ce2-d3cf-40f0-9aa6-33c72907952a
poster,Balance,db37ad99-dadd-4b6f-8aff-3e73127c1534
poster,Moon Phases,c47b3c34-922c-4e3d-ac00-928a3976ecf3
poster,Mountain,3f976617-a0f1-41a7-8ef8-1dbbadb92510
poster,Tonal Horizon,6dc0e385-d363-4d13-9972-3b0d0e31cce6
poster,Layered Hills,f3dfdc05-c008-4149-9f1a-cad8d0add0ab
canvas,Pampas,557961e5-f7ff-4af6-95f8-59daa15a1857
canvas,Tonal Horizon,1606aa19-e78b-4037-935e-4f0b3393c3dd
canvas,Sun and Moon,8928e571-795b-4520-8532-48de194e79c8
canvas,Arch,cf9d72ac-fd9d-4581-9478-7a9f6f50b241
canvas,Vessel,ae37521a-4e57-4341-a95c-a528db62a506
canvas,Rising Sun,4abf30da-4074-4891-90a3-71334095ee8d
canvas,Single Stem,299d5d07-9e7e-4de6-bbad-64324ba230f8
canvas,Balance,01f7bd23-09b7-47bc-b17d-802c1c0c7bb5
canvas,Moon Phases,5354ccf5-a368-4c49-b58a-bc03481de0fb
canvas,Mountain,8c864306-6cf6-47fe-ae86-4f763b7039c8
canvas,Ink Horizon,a6606b66-89dc-46b4-bfa8-e3d1d60f60a4
canvas,Layered Hills,9c3311bf-3b0c-484c-810f-8a267e7011b9
framed,Mountain,9ecaccc2-4a3c-404e-b1bb-e4e9eb880f94
framed,Pampas,d4af15d5-587b-4db3-a111-4bb0142b01ef
framed,Rising Sun,c8c5126c-7c35-4b27-8709-c3551856b98b
framed,Balance,60e5a40d-9783-49fc-a36a-beebb254ffca
framed,Vessel,81f2bb14-f80d-43c7-bf06-3f1eaa1d946e
framed,Moon Phases,70f04f0d-c16c-48e8-b65b-ded0aa9a0898
framed,Single Stem,fa0dd74c-631e-455d-8be9-b6521a90ae89
framed,Tonal Horizon,645d48aa-086f-44a9-a053-0d77a8f33810
framed,Sun and Moon,154e45cc-7438-4a9d-959a-98ea5d39b340
framed,Arch,d7b84376-69c8-4ecb-9262-53f9587cd659
framed,Ink Horizon,febf1b16-4dc5-4b79-a092-885b687a2b99
framed,Layered Hills,5d0edfa5-3f7a-4276-ae1f-4ae476188471
tote,Ensō,3d365d93-65eb-4050-9373-131359599aec
tote,Neutral Mudcloth,946464d8-0341-4ef9-ba93-763a42f8dac8
tote,Ink Brush,8c55faf4-c97c-42cf-97b5-6110eb6452bd
tote,Seigaiha,e617eb6e-1982-49b9-8806-f919cbda61f8
mug,Sun Arch,c5fd08db-da7b-4dcb-a061-28997ec5d586
mug,Neutral Mudcloth,ef6f18d9-9da1-4cea-915d-149d95c073ec
mug,Ensō,f18d8d30-54e7-49a9-b4cc-a7802e261be2
mug,Seigaiha,c4e97755-eb18-40a2-a552-252ba8500845
